ncalls, tottime, percall, cumtime, percall, filename:lineno(function)
4/1, 0.000, 0.000, 7819.840, 7819.840, {built-in, method builtins.exec}
1, 0.000, 0.000, 7819.840, 7819.840, <string>:1(<module>)
1, 0.000, 0.000, 7819.840, 7819.840, memory_profiler.py:1140(wrapper)
1, 0.005, 0.005, 7819.840, 7819.840, memory_profiler.py:715(f)
1, 7.831, 7.831, 7819.833, 7819.833, 1201675695.py:3(fit)
2220178, 6829.180, 0.003, 6829.432, 0.003, {built-in, method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
4689, 1.344, 0.000, 5043.665, 1.076, backprop.py:1007(gradient)
4689, 0.093, 0.000, 5027.877, 1.072, imperative_grad.py:29(imperative_grad)
4689, 102.390, 0.022, 5027.669, 1.072, {built-in, method tensorflow.python._pywrap_tfe.TFE_Py_TapeGradient}
281340, 7.376, 0.000, 4898.969, 0.017, backprop.py:127(_gradient_function)
37512, 2.383, 0.000, 4276.038, 0.114, nn_grad.py:563(_Conv2DGrad)
37512, 1.919, 0.000, 2277.090, 0.061, gen_nn_ops.py:1483(conv2d_backprop_input)
2586979/1826140, 21.868, 0.000, 1978.766, 0.001, traceback_utils.py:138(error_handler)
37512, 2.519, 0.000, 1966.119, 0.052, gen_nn_ops.py:1307(conv2d_backprop_filter)
1533634/1507260, 15.457, 0.000, 1879.065, 0.001, dispatch.py:1162(op_dispatch_handler)
258888/5628, 3.016, 0.000, 1832.626, 0.326, traceback_utils.py:59(error_handler)
67536/5628, 0.624, 0.000, 1832.526, 0.326, training.py:525(__call__)
191352/5628, 26.968, 0.000, 1832.373, 0.326, base_layer.py:987(__call__)
191352/5628, 4.165, 0.000, 1824.143, 0.324, traceback_utils.py:92(error_handler)
5628, 1.596, 0.000, 1824.044, 0.324, 3051841859.py:25(call)
16884, 3.738, 0.000, 1708.974, 0.101, 4239356372.py:21(call)
45024, 23.807, 0.001, 1699.628, 0.038, 1206929776.py:15(call)
