ncalls, tottime, percall, cumtime, percall, filename:lineno(function)
249069/247109, 0.012, 0.000, 0.012, 0.000, {built-in, method builtins.len}
151448/151068, 0.013, 0.000, 0.015, 0.000, {built-in, method builtins.isinstance}
132964, 0.007, 0.000, 0.007, 0.000, {method, 'append' of 'list' objects}
121671/121419, 0.026, 0.000, 0.050, 0.000, {built-in, method builtins.getattr}
109835, 0.014, 0.000, 0.014, 0.000, {method, 'startswith' of 'str' objects}
99392, 0.008, 0.000, 0.008, 0.000, {method, 'lstrip' of 'str' objects}
73354, 0.010, 0.000, 0.010, 0.000, {built-in, method builtins.min}
43791/43782, 0.011, 0.000, 0.012, 0.000, {method, 'join' of 'str' objects}
42488, 0.003, 0.000, 0.003, 0.000, {method, 'rstrip' of 'str' objects}
41910/41281, 0.009, 0.000, 0.085, 0.000, {built-in, method builtins.hasattr}
35869, 0.002, 0.000, 0.002, 0.000, {built-in, method builtins.callable}
35644/35028, 0.002, 0.000, 0.002, 0.000, {built-in, method builtins.hash}
32418, 0.003, 0.000, 0.003, 0.000, {method, 'get' of 'dict' objects}
28110, 0.005, 0.000, 0.005, 0.000, {built-in, method builtins.setattr}
27846, 0.004, 0.000, 0.004, 0.000, assumptions.py:489(as_property)
22532, 0.003, 0.000, 0.006, 0.000, {built-in, method builtins.all}
18842, 0.002, 0.000, 0.002, 0.000, {built-in, method _imp.acquire_lock}
18842, 0.002, 0.000, 0.002, 0.000, {built-in, method _imp.release_lock}
17736, 0.003, 0.000, 0.003, 0.000, <frozen, importlib._bootstrap>:231(_verbose_message)
17255, 0.001, 0.000, 0.001, 0.000, inspect.py:2560(kind)
16646, 0.008, 0.000, 0.010, 0.000, <frozen, importlib._bootstrap_external>:123(<listcomp>)
16646, 0.007, 0.000, 0.020, 0.000, <frozen, importlib._bootstrap_external>:121(_path_join)
16061, 0.001, 0.000, 0.001, 0.000, inspect.py:2548(name)
16000, 0.003, 0.000, 0.003, 0.000, {method, 'rpartition' of 'str' objects}
15791, 0.008, 0.000, 0.008, 0.000, {method, 'expandtabs' of 'str' objects}
15256, 0.006, 0.000, 0.008, 0.000, conflict.py:7(supercedes)
